image_id,question,multiple_choices,question_id,question_type,multiple_choice_answer,answer_type,answers_multiple_users
999,Can you see a block  cheese?,"['facing', '3', 'fire station', 'white', 'snowball', 'blue', 'white house', 'yellow', 'office', '1', 'red', 'no', '2', ""don't know"", 'plump', '4', 'girl and dog', 'yes']",9990,can,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
999,Where are the cups?,"['yellow', 'closed', 'on table', 'on furniture', 'table', 'kitchen', '2', 'clouds', 'white', 'no', 'blue', 'on blanket', 'red', ""woman's arms"", '4', 'yes', '1', '3']",9991,where are the,on blanket,other,"['blanket', 'blanket', 'on blanket', 'on blanket', 'blanket', 'on picnic blanket', 'on blanket', 'on blanket', 'on blanket', 'blanket']"
999,Is it a cloudy day?,"['4', 'sunny', 'blue', '3', 'cloudy', 'not very', 'no', 'turned', 'yellow', 'red', '1', '2', 'white', 'day', 'one for each', 'light tan', 'person', 'yes']",9992,is it,yes,yes/no,"['yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
999,How many people are in the image?,"['3', '13', '18', '2', '15', '8', '12', '16', '19', '20', '0', '1', '9', '10', '7', '4', '17', '11']",9993,how many,1,number,"['1', '1', '1', '1', '1', '11', '1', '12', '1', '6']"
1000,Does the girl know how to skate?,"['yes', 'blue', '2 to 1', 'corners', '1', 'yellow', 'crying', '4', '3', 'red', 'behind clouds', 'white', 'floor', '2', 'ground', 'not very high', 'no', 'maybe']",10000,does the,yes,yes/no,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'no']"
1000,Do the walkways meet?,"['red', 'peed', '4', 'schizophrenia', 'chairs', 'no', 'move it', 'ground', 'white', 'yellow', '3', '1', 'closet', '2', 'floor', 'yes', 'blue', 'higher table']",10001,do the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
1000,Does the sideway have any cracks?,"['yes 3 of them', 'no', 'y', '3', 'yellow', 'chihuahua', 'blue purple pink yellow', '1', 'young', 'no image', 'see saw', 'bird', '2', 'blue', 'white', 'red', 'yes', '4']",10002,does the,no,yes/no,"['yes', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no']"
1000,How many people are in the image?,"['3', '13', '18', '14', '8', '17', '12', '16', '19', '0', '1', '10', '4', '9', '7', '2', '6', '11']",10003,how many,2,number,"['2', '2', '2', '15', '2', '2', '2', '2', '2', '2']"
1001,Are both of her feet on the couch?,"['2', '3', 'white', '1', 'little', 'yellow', 'left', 'cartoons', 'no', 'red', 'blue', 'blue and red', 'maybe', 'one on ground', 'yes they are', 'hiding', 'yes', '4']",10010,are,no,yes/no,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1001,Is the dog begging for attention?,"['fetch', 'no', 'meat', 'red', '4', 'fair', 'under windows', 'yellow', 'wine glass and plates', 'white', '1', 'blue', '2', 'couch', 'fell out', 'yes', 'good one', '3']",10011,is the dog,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'no']"
1001,Are there more than two picture frames?,"['white', '1', 'apple and bottle', 'only 2', 'red', 'trees', '5', 'they babysit', 'yes', 'soccer and football', ""in boy's hand"", 'yellow', 'blue', 'no', '2', '4', 'felines', '3']",10012,are there,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1001,How many animals are present in the image?,"['13', '2', '14', '8', '15', '12', '16', '20', '0', '1', '10', '4', '9', '7', '17', '5', '6', '11']",10013,how many,1,number,"['1', '1', '1', '1', '19', '1', '1', '1', '1', '1']"
1002,What color are the marshmallows on stick?,"['resting', 'brown', '3', 'black', 'yellow, red, green, orange', 'yes', 'no', '4', 'in middle', '1', '2', 'blue', 'red, orange, yellow, blue, and tan', 'tan and white', 'yellow', 'white', 'little', 'red']",10020,what color are the,white,other,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']"
1002,Is the sun up?,"['only boy', 'windowsills', '1', 'almost', 'no its circled', 'white', 'eagle', '2', 'decoration', 'blue book', 'yes it is', 'no', 'red', 'blue', 'yes', 'yellow', '4', '3']",10021,is the sun,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'yes', 'no']"
1002,Is it sunny?,"['yellow', 'cloudy', 'her friends left her', 'yes', '3', 'no', 'wants to play with it', 'sunny', 'beehive', '2', '4', 'maybe', '1', 'in bush', 'blue', 'red', 'behind boy', 'white']",10022,is it,no,yes/no,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'yes', 'no']"
1002,How many people are in the image?,"['13', '3', '17', '8', '15', '12', '16', '20', '19', '0', '10', '7', '4', '1', '2', '5', '6', '11']",10023,how many,2,number,"['2', '2', '4', '2', '2', '14', '2', '2', '2', '2']"
1003,How many people are sitting on the picnic blanket?,"['8', '2', 'yes', 'food and drink', 'to get birds', 'to girl', 'no', '5', 'red', 'yellow', '4', '1', '3', 'white', 'snack', 'to get steaks', 'blue', '6']",10030,how many people are,2,number,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
1003,What is the woman holding?,"['1', 'long jump', 'yellow', 'he fell', 'no', 'red', 'glass', 'baby', 'walked', 'blue', 'old age', 'white', 'watermelon', 'purse', 'yes', '3', '2', '4']",10031,what is the woman,watermelon,other,"['watermelon', 'cup', 'watermelon', 'watermelon', 'watermelon', 'slice of watermelon', 'watermelon', 'watermelon', 'watermelon', 'watermelon']"
1003,How many birds are in the scene?,"['red', '20', '8', 'chasing rabbit', '4', 'tired', '1', 'near table', 'blue', '10', 'sunny day', '3', 'no stand', 'yellow', '2', 'white', 'no', 'yes']",10032,how many birds are,2,number,"['2', '2', '4', '2', '2', '2', '2', '2', '2', '2']"
1003,How many people are in the image?,"['3', '13', '14', '15', '8', '12', '16', '19', '0', '10', '9', '7', '1', '4', '2', '5', '6', '11']",10033,how many,2,number,"['2', '16', '2', '2', '12', '2', '6', '16', '2', '2']"
1004,Are there leaves on the trees?,"['sandbox', 'blue', ""there's diagonal crack"", '4', 'dog bed', '3', 'yellow', '10', '2', 'no', 'red', 'white', '1', '0', 'yes', 'green', 'ribs, pineapple, tomato, two unidentifiable items', 'mountain']",10040,are there,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1004,Where is the woman?,"['yellow', 'yes', 'white', 'on bench', 'blue', '2', 'bench', '4', 'buzzing around food', 'weber', 'in car', '3', 'red', '1', 'grip', 'dad', 'no', 'kitchen']",10041,where is the,on bench,other,"['on bench', 'bench', 'bench', 'on bench', 'on bench', 'bench', 'bench', 'on bench', 'bench', 'on bench']"
1004,What time of year is it?,"['4', 'fall', 'winter', 'white', 'yellow', 'blue', 'summer', 'mouse and cat', '3', 'spring', 'no', 'red', 'yes', 'flat', 'go on picnic', '1', 'by wall', '2']",10042,what,fall,other,"['fall', 'autumn', 'late fall', 'fall', 'winter', 'fall', 'fall', 'fall', 'fall', 'fall']"
1004,How many people are in the image?,"['13', '3', '18', '14', '8', '15', '12', '19', '20', '16', '0', '9', '7', '4', '10', '2', '6', '11']",10043,how many,2,number,"['2', '2', '2', '2', '8', '2', '19', '2', '6', '19']"
1005,What is the picture on the wall?,"['flowers', 'yes', 'flower', 'red', 'white with red', '1', 'white', '3', 'blocks and legos', '2', '4', 'blue', ""it's floating"", 'sunset', 'portrait', 'yellow', 'no', 'sun']",10050,what is the,sunset,other,"['between door and window', 'sunrise', 'sunset', 'sunset', 'sunset', 'sun', 'sunset over water', 'sunset', 'sun', 'sunset']"
1005,What color is the rug?,"['4', '2', 'under couch', 'white', ""in man's hand"", 'yellow', 'brown', 'on chair on right', 'beige', '3', 'red', 'aqua', 'yes', 'beer', '1', 'blue', 'no', 'by bush']",10051,what color is the,red,other,"['red', 'red', 'red', 'burgundy', 'red', 'red', 'red', 'red', 'red', 'red']"
1005,What is she sitting on?,"['blue', 'hair', 'running after ball', 'couch', 'yellow', 'red', '1', 'log', 'bed', 'next to pond', 'white', 'tripped', 'yes', 'chair', '2', '4', '3', 'no']",10052,what is,chair,other,"['chair', 'chair', 'chair', 'chair', 'chair', 'chair', 'chair', 'chair', 'chair', 'chair']"
1005,How many people are in the image?,"['3', '13', '18', '14', '15', '17', '12', '16', '20', '19', '0', '1', '9', '4', '10', '2', '6', '11']",10053,how many,1,number,"['1', '18', '1', '1', '1', '1', '1', '1', '14', '1']"
1006,How many books are on the bookshelf?,"['5', '4', 'red', '25', 'yellow', 'blue', 'bed', 'middle of people', 'white', '50', 'tea party', '2', 'yes', '7', '1', 'no', 'bird taking food', '3']",10060,how many,5,number,"['5', '5', '5', '5', '5', '5', '5', '4', '5', '5']"
1006,Is the dog warm?,"['yellow and white', 'red', 'blue', 'see saw, slide, skateboard', '1', 'good', 'white', '3', 'meat', '2', 'yes', 'behind log', '4', 'beside couch', 'no', 'fetch', 'couch', 'yellow']",10061,is the dog,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1006,Is the dog sleeping?,"['white', 'napping', 'red', '2', '1', '4', 'blue', 'yes', 'sleeping', 'couch', 'yellow', 'no', 'feng shui', 'laughing at her', 'swinging', 'skin tone and hair color', '3', 'lower right']",10062,is the dog,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1007,How many adults are in the image?,"[""boy's"", 'red', 'blue', 'no', 'yellow', 'white', '3', '7', '4', 'brass', 'standing on log', 'yes', '2', 'ladies', '1', 'to', '5', 'see better']",10070,how many,1,number,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
1007,What is the woman holding?,"['no', '3', '2', '4', 'white', 'blue', 'book', 'red', 'hanging', 'cell phone', 'books', 'yes', 'playing with dogs', 'baby', 'husband and wife', 'computer screens', 'yellow', '1']",10071,what is the woman,book,other,"['book', 'relaxing', 'notebook', 'book', 'book', 'book', 'book', 'book', 'book', 'book']"
1007,Is this room neatly arranged?,"[""in boy's hand"", '3', 'clean', 'no', 'red', 'not particularly', 'blue', 'yellow', '1', 'white', 'yes', 'wearing it', 'down', 'he’s', '4', 'next to man', 'in front of man', '2']",10072,is this,yes,yes/no,"['yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
1007,How many people are in the image?,"['13', '3', '18', '14', '8', '15', '12', '16', '20', '0', '1', '9', '7', '4', '2', '5', '6', '11']",10073,how many,2,number,"['2', '2', '16', '2', '2', '2', '2', '7', '2', '2']"
1008,Where is the dog?,"['2', 'sleeping', 'red', 'blue', 'rug', 'on floor', 'he is reading', '1', 'coffee', 'white', 'adult', 'yes', '3', 'ride', 'no', 'yellow', '4', 'in grass']",10080,where is the,on floor,other,"['near woman', 'beside couch', 'floor', 'floor', 'on floor', 'living room', 'on floor', 'ground', 'on floor', 'floor']"
1008,Is the plant on the floor?,"['clothes', 'nothing', 'no', '1', 'blue', 'es', '4', 'out of picture', 'red', 'yes', '2', 'cans', '3', 'mexican', 'mountain', 'white', 'yellow', 'roasting']",10081,is the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1008,Can you see any scenery in the window other than sky?,"['plate of food', 'no plates', 'red', '2', 'saturn', 'mars', 'blue', '3', 'yellow', 'outdoor', 'for comfort', 'no', '4', 'fish', 'white', 'yes', '1', 'usa']",10082,can,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1009,Does the girl like to play soccer?,"['wet sand', 'blue', 'wiping arm', 'maybe', '1', 'white', '2', 'fetch', 'yellow', '3', 'unknown', 'no', 'what are you watching?', 'set', 'red', 'yes', 'decorative', '4']",10090,does the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1009,Are there bees in the beehive?,"['50', 'apple', 'white', 'blue', 'yes', 'her eyes', 'beside tree', 'no', '4', '2', 'likely', 'color', '1', 'red', 'yellow', '3', 'she is happy', '14']",10091,are there,yes,yes/no,"['yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no']"
1009,Is it a sunny day?,"['2', 'blue', 'sunny', '3', 'day', 'done reading', 'seesaw', 'red', '4', 'roses', 'vertical', 'cloudy', '1', 'chasing butterfly', 'white', 'no', 'yes', 'yellow']",10092,is it,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1009,How many people are in the image?,"['3', '13', '18', '14', '15', '12', '16', '19', '20', '0', '1', '9', '7', '10', '4', '2', '5', '11']",10093,how many,1,number,"['1', '1', '1', '1', '14', '1', '1', '1', '1', '14']"
1010,Where is the rabbit?,"['red', 'yellow', 'no mess', 'hole', '2', '4', '1', 'white', 'behind bush', 'yes', '3', 'blue', 'no', 'under trees', 'under table', 'comfortable', 'everyone', 'under tree']",10100,where is the,under tree,other,"['under tree', 'near pond', 'next to pond', 'running toward pond', 'ground', 'in front of pond/tree', 'ground', 'grass', 'under tree', 'in grass']"
1010,Are there bees around the beehive?,"['red', '2', '1', 'yellow', 'felines', 'roasting marshmallows', 'only 2', '4', '1 mile', 'no', 'man on right', 'yes', '3', 'white', 'canines', 'blue', 'walking it', 'ties']",10101,are there,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1010,How many insects?,"['white', 'yes', '86', '3', '1', '2', '4', 'no', 'foreground', 'size', ""it's on sidewalk"", 'red', '1689314412', 'blue', 'yellow', 'add beauty', 'grass', '12']",10102,how many,3,number,"['3', '5', '4', '3', '3', '4', '3', '3', '4', '3']"
1010,How many people are in the image?,"['3', '13', '18', '14', '15', '8', '12', '19', '20', '0', '10', '7', '1', '9', '4', '17', '6', '11']",10103,how many,1,number,"['1', '1', '1', '3', '1', '16', '1', '20', '13', '1']"
1011,Where is the table?,"['65', '2', '3', 'kitchen', 'no', 'yellow', 'cheddar', 'white', 'center of room', 'blue', 'inside', '10,000 f', 'yes', 'dining room', 'red', '4', '1', 'rug']",10110,where is the,rug,other,"['by window', 'rug', 'on rug', 'on carpet', 'carpet', 'rug', 'rug', 'rug', 'on rug', 'rug']"
1011,Are these two female humans look like the come from the same race?,"['yellow', 'teasing', 'jump ropes', 'opposite', 'white', 'red', '2', 'yes', 'maybe', 'no', 'tea', '1', 'same', '4', 'blue', 'pillows', 'younger woman', '3']",10111,are these,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1011,Are they going to eat nachos?,"['3', 'mo', 'chips', 'birthday', 'no', 'under couch', '1', 'pencil', '4', 'red', 'yes', 'white', '2', 'sunset', 'blue', 'yellow', 'buckets and shovel', 'jump rope']",10112,are they,no,yes/no,"['no', 'yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes']"
1011,How many people are in the image?,"['13', '3', '17', '8', '15', '12', '16', '20', '19', '0', '9', '1', '4', '7', '2', '5', '6', '11']",10113,how many,2,number,"['2', '2', '2', '2', '2', '2', '2', '19', '2', '20']"
1012,Are these two people laughing at the sleeping dog?,"['lifting couch', 'brown and white', 'life', 'eats lot', 'computer screens', 'birthday', 'friends', 'yellow', 'yes', ""i don't know"", 'blue', '2', 'red', '3', '1', '4', 'no', 'white']",10120,are these,no,yes/no,"['no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
1012,Are they hungry?,"['2', 'sitting on stool', 'yes', 'mo', 'siamese', 'white', 'no', 'teddy bears', 'birthday', '4', '3', 'playing video game', '1', 'yellow', 'apple', 'blue', 'wine', 'red']",10121,are they,yes,yes/no,"['yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
1012,What color are the curtains?,"['yes', 'red', '3', 'white', 'paw print', 'wheat', '1', 'tan', 'catch cat', 'green', '4', 'looking in basket', 'brown', 'no', 'charlie brown', 'yellow', 'blue', '2']",10122,what color are the,white,other,"['white', 'white', 'white', 'white', 'white', 'white', 'why', 'white', 'white', 'white']"
1012,How many people are in the image?,"['3', '13', '18', '17', '15', '14', '8', '19', '16', '20', '0', '1', '7', '4', '2', '5', '6', '11']",10123,how many,2,number,"['2', '2', '2', '16', '7', '2', '2', '2', '2', '12']"
1013,Is that a proper place for a turtle?,"['blocks, robot, dollhouse', 'cake', 'yes', 'blue', 'charcoal', 'white', 'yellow', 'old man', '3', 'teeter totter', '1', 'red', 'no', 'gas', 'no it is just illusion', '4', '2', 'too many to count']",10130,is that,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
1013,Is the raccoon awake?,"['halfway', 'long day', 'yes', 'weber', 'almost', '2', 'sports game', 'how to pet dog', 'yellow', 'blocks, scissors, pencil', 'red', 'no', 'blue', '1', 'white', 'no its circled', '3', '4']",10131,is the,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1013,Is the girl holding her dad's hand?,"['4', 'maybe', 'white', '1', 'blue', 'yellow', 'chasing cat', 'red', '3', 'cat dropped it', 'yes', 'yes!', 'windows', 'off', 'happy?', 'nobody', 'no', '2']",10132,is the girl,yes,yes/no,"['yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
1013,How many people are in the image?,"['13', '17', '8', '14', '12', '15', '19', '16', '20', '0', '7', '1', '4', '10', '9', '2', '6', '11']",10133,how many,2,number,"['2', '2', '2', '2', '2', '2', '2', '2', '14', '11']"
1014,Is the man alone?,"['yes', 'frown', 'pointing at birds', 'blue', 'red', 'painting', '90', '1', 'unsure', 'steak', '4', 'yellow', 'ran away', 'standing', 'white', 'no', '3', '2']",10140,is the man,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1014,What type of bird is in the air?,"['falcon', 'no leaves', 'safety', '3', 'white', 'no', 'pine', '1', '2', 'bluebird', 'yes', 'owl', 'red', 'blue', 'sparrow', ""in boy's hand"", '4', 'yellow']",10141,what type of,owl,other,"['owl', 'owl', 'owl', 'owl', 'hawk', 'owl', 'eagle', 'owl', 'owl', 'owl']"
1014,Is the moon in the sky?,"['white', 'blue', 'sideways', '1', '3', 'butterflies', 'yellow', 'no', 'almost', 'yes', 'baby and dog', '2', 'red', 'no its circled', 'mess', 'girls hand', 'moon', '4']",10142,is the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1014,How many people are in the image?,"['3', '13', '18', '17', '15', '8', '16', '20', '0', '1', '9', '4', '7', '10', '2', '5', '6', '11']",10143,how many,1,number,"['1', '1', '1', '1', '1', '16', '3', '1', '1', '1']"
1015,What is the kid playing with?,"['yellow', '4', '2', '3', 'white', '1 mile', 'cat', 'red', 'ball', 'blue', 'doe', '1', 'no', 'yes', 'blocks', 'robot and car', 'open', 'baseball and bat']",10150,what is the,blocks,other,"['blocks', 'blocks', 'blocks', 'toys', 'blocks', 'blocks', 'blocks', 'legos', 'blocks', 'blocks']"
1015,What mom smiling about?,"['kids', '3', 'joke', 'jump ropes', '1', 'yellow', 'tv', 'getting on bike', '2', '21', 'baby', '4', 'yes', 'to sit on', 'white', 'blue', 'no', 'red']",10151,what,baby,other,"['baby', 'baby', 'baby', 'baby playing', 'baby', 'baby is happy', 'happy kid', 'baby', 'baby', 'baby']"
1015,What is next to the baby?,"['when he gets off', 'not very high', '3', '1', 'yes', 'pillow', '4', 'bee', 'red', 'no', '2', 'blocks', 'blue', 'blanket', 'yellow', 'white', 'rose', 'dog']",10152,what is,blocks,other,"['toy house', 'blocks', 'doll house and blocks', 'blocks', 'playhouse', 'toys', 'dollhouse', 'dollhouse', 'blocks', 'toys']"
1016,How many dolls?,"['2', '8', '1', 'sunny day', 'smaller', 'yes', '3', '4', '7', 'blue', 'no furniture', 'looks nice', 'white', 'no', '5', 'it was put there', 'yellow', 'red']",10160,how many,1,number,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
1016,Is this little girl petting a white dog?,"['a', '3', 'in dog bed', '2', 'yellow', '4', 'red', 'pouring', '1', 'no', 'buck', 'plant and cup', 'playful', 'blue', '5:00 pm', 'white', 'doe', 'yes']",10161,is this,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1016,Where is the dog?,"['outside', '1', '3', 'under table', 'chopped down', 'no', 'playing with girl', 'sitting', 'red', 'color', 'on tree', '2', 'yes', 'floor', 'yellow', 'white', 'blue', '4']",10162,where is the,playing with girl,other,"['on floor', 'playing with girl', 'playing with girl', ""girl's foot"", ""at girl's leg"", 'by girl', 'near little girl', 'carpet', 'floor', ""girl's arms""]"
1016,How many people are in the image?,"['13', '3', '17', '8', '15', '12', '16', '19', '20', '0', '9', '1', '4', '10', '7', '2', '5', '6']",10163,how many,1,number,"['1', '7', '1', '20', '1', '1', '1', '1', '1', '1']"
1017,How many bushes are near the sidewalk?,"[""it hasn't been cut"", 'traditional', 'yellow', 'yes', 'blue', '2', 'to keep warm', '500', 'red', 'by woman', '5', 'white', '4', '1', 'messy kids', 'no', '3', '20']",10170,how many bushes,2,number,"['2', '2', '1', '2', '1', '2', '2', '2', '2', '2']"
1017,Is the girl going to pick up the cat?,"[""man's knee"", 'yellow', 'toy cars', 'helping girl', 'bowtie', '3', '1', 'probably', 'younger', 'up', '4', 'white', '2', 'blue', 'no', 'happy?', 'yes', 'red']",10171,is the girl,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no']"
1017,How many ponytails does the little girl have?,"['white', 'white cat', 'yes', 'blue', '4', '3', '2', '10', '56', 'yellow', '100', 'roses', 'red', 'rabies', 'white with red', 'under trees', '1', 'no']",10172,how many,2,number,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
1017,How many people are in the image?,"['3', '13', '18', '14', '8', '15', '12', '17', '16', '20', '0', '10', '1', '4', '7', '9', '2', '11']",10173,how many,1,number,"['1', '1', '1', '6', '1', '1', '1', '1', '1', '1']"
1018,What is the boy so happy about?,"['picnic', 'she found dollar', 'homework', 'yellow', 'summer vacation', 'with help', '3', 'red', 'near tree', '4', 'no', 'wood', 'yes', 'blue', '1', 'christmas presents', '2', 'white']",10180,what is the boy,picnic,other,"['going on picnic', 'picnic', 'picnic', 'going to picnic', 'picnic', 'time to eat', 'picnic', 'food', 'food', 'picnic']"
1018,Is the boy getting ready for an indoor picnic for one?,"['no', 'bees', 'bikes', 'white', 'sidewalk', 'maybe', 'playing tea party', 'yes', '1', '3', 'red', 'yes no', 'yew', 'blue', 'yellow', 'no chair', '4', '2']",10181,is the boy,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
1018,Is this a boy or a girl?,"['white with red', '1', 'catch fish', 'doe', 'white', '2', 'buck', '4', 'boy', ""he's scared"", 'holding table', 'blue', 'red', 'no', 'painting', 'yes', '3', 'yellow']",10182,is this a,boy,other,"['boy', 'boy', 'boy', 'boy', 'boy', 'boy', 'boy', 'girl', 'boy', 'boy']"
1018,How many people are in the image?,"['13', '18', '2', '14', '15', '8', '12', '19', '20', '16', '0', '1', '9', '10', '4', '17', '6', '11']",10183,how many,1,number,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '9']"
1019,What is she holding?,"['3', 'cat and mouse', 'gold', 'no swing', '2', '1', 'behind boy', '4', 'car', 'glass', 'red', 'white', 'phone', 'no', 'yellow', 'bone', 'blue', 'yes']",10190,what is,bone,other,"['bone', 'bone', 'bone', 'bone', 'bone', 'bone', 'bone', 'bone', 'bone', 'bone']"
1019,Is the dog sitting?,"['3', 'no', 'play with baby', 'yes', 'sitting', 'yellow', '2', 'couch', 'blue', 'different heights', 'standing', 'news', '1', 'someone will drink it', '4', 'cartwheel', 'white', 'red']",10191,is the dog,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1019,What is the dog begging for?,"['no', 'couches', 'blue', 'yellow', 'laughing', 'treats', 'made fire', 'white', 'table', 'red', '3', 'food', 'yes', '2', '1', 'green tea', '4', 'bone']",10192,what is the dog,bone,other,"['bone', 'bone', 'bone', 'bone', 'bone', 'bone', 'bone', 'bone', 'bone', 'bone']"
1019,How many people are in the image?,"['3', '13', '18', '2', '14', '15', '8', '16', '20', '19', '1', '7', '4', '9', '17', '5', '6', '11']",10193,how many,1,number,"['1', '1', '13', '1', '1', '1', '14', '12', '1', '1']"
1020,Is this woman throwing a tantrum?,"['keep healthy', 'playing on monkey bars', 'yes', 'tortoise and hare', 'buck', 'begging for food', 'baseboard', 'see saw', 'blue', '2', 'no', 'red', 'doe', '3', 'yellow', 'white', '4', '1']",10200,is this,no,yes/no,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1020,How many pieces of furniture in the room are made for sitting on?,"['no', '6', '4', 'playing with birds', '10', '1', 'yes', 'blue', '5', 'to get plant', 'white', 'red', 'lifting chair', '2', 'yellow', 'person', '3', '4 ft']",10201,how many,3,number,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3']"
1020,What is the girl with red hair doing?,"['yoga', 'red', 'blue', '2', ""dog's"", '4', '1', 'dancing', 'chasing mice', 'flat screen', 'yes', 'yellow', 'jump rope', 'white', 'jumping rope', 'chasing soccer ball', 'no', '3']",10202,what is the girl,yoga,other,"['yoga', 'stretching', 'stretching', 'yoga', 'yoga', 'stretching', 'exercising', 'yoga', 'laying down', 'floor exercises']"
1020,How many people are in the image?,"['3', '18', '2', '14', '8', '15', '12', '16', '0', '7', '1', '10', '9', '4', '17', '5', '6', '11']",10203,how many,1,number,"['1', '1', '1', '1', '18', '1', '1', '17', '1', '1']"
1021,What is the baby trying to do?,"['horse', '2', 'yes', 'red', 'grab phone', 'walk', 'shirt', 'get picked up', '4', 'no', 'yellow', 'blue', 'bee', 'teasing', '3', 'talk', '1', 'white']",10210,what is the baby,get picked up,other,"['reach', 'get picked up', 'stand', 'be held', 'reach his mom', 'sitting', 'hug mom', 'get up', 'get held', 'get picked up']"
1021,What is the lady trying to do?,"['throw frisbee', '2', 'behind woman', 'blue', 'red', 'no', 'yes', 'sleep', 'yellow', 'pick apple', 'drive', 'white', 'long-sleeved', '4', '1', 'throwing it', '3', 'pick up baby']",10211,what is the lady,pick up baby,other,"['pick up baby', 'hold her child', 'pick up baby', 'playing', 'pick up child', 'pick up baby', 'pick up baby', 'pick up baby', 'pick up baby', 'pick up baby']"
1021,Is there a place to hang coats?,"['no', 'middle of wall', '1', 'yes', '4', 'park', 'on table', 'flying', 'blue', '10 feet', 'white', 'tea cups babies doll', 'burgers and pie', 'on top of couch', '2', 'red', 'yellow', '3']",10212,is there a,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1021,How many people are in the image?,"['13', '3', '18', '14', '15', '17', '12', '19', '20', '16', '0', '10', '7', '1', '4', '2', '5', '11']",10213,how many,1,number,"['1', '1', '1', '4', '1', '1', '1', '20', '1', '1']"
